Plan ID,Bin,Plan
Plan001,41114600,Axis Bank Signature Credit Card
Plan002,41114601,Axis Bank Signature Card
Plan003,41114602,Axis Bank Signature Card With Lifestyle Benefit
Plan004,41114603,Axis Bank Signature Card With Travel Benefit
Plan005,41114604,Axis Bank Advantage Credit Card
Plan006,41114606,Axis Bank Select Credit Card
Plan007,42113700,Burgundy Private Credit Card
Plan008,42113701,Burgundy Private NRI Credit Card
Plan009,43083200,Axis Bank Vistara Platinum Credit Card
Plan010,43083300,Axis Bank Vistara Signature Credit Card
Plan011,43083400,Axis Bank Vistara Infinite Credit Card
Plan012,43656000,Axis Bank Infinite Card
Plan013,43656001,Axis Bank Reserve Credit Card
Plan014,52962900,Axis Bank Magnus Credit Card
Plan014,45146000,Axis Bank Magnus Credit Card
Plan015,55934000,Axis Bank Miles And More World Select Credit Card
Plan016,55934001,Axis Bank Miles And More World Select Credit Card (Nfc)
Plan017,55934100,Axis Bank Miles And More World Credit Card
Plan018,55934101,Axis Bank Miles And More World Credit Card (Nfc)
Plan019,55934200,Axis Bank Privilege Credit Card
Plan020,410038,Axis Bank Atlas
Plan021,42322600,Axis Bank Rewards Credit Card
Plan021,53186100,Axis Bank Rewards Credit Card
Plan022,40336200,Axis Bank Prestige Credit Card
Plan024,42939100,Indian Oil Axis Bank Premium Credit Card
Plan024,534322,Indian Oil Axis Bank Premium Credit Card
Plan025,43862800,Citi Rewards Credit Card
Plan026,52911707 ,Citi Rewards Credit Card
Plan027,55213701 ,Citi Rewards Credit Card
Plan028,55463700,IndianOil Citi Credit Card
Plan029,55463769,IndianOil Citi Credit Card
Plan030,55463771,IndianOil Citi Credit Card
Plan031,55463799,IndianOil Citi Credit Card
Plan032,43046363,Citi Premiermiles Credit Card
Plan033,54985205,Citi Premiermiles Credit Card
Plan034,55463770,First Citizen Citi Credit Card
Plan035,43858770,First Citizen Citi Credit Card
Plan036,46179501,Citi Cash Back Credit Card
Plan037,52413305,Citi Cash Back Credit Card
Plan038,52038603,Citi Cash Back Credit Card
Plan039,45503883,Citi Rewards Domestic Credit Card
Plan040,54149701,Citi Rewards Domestic Credit Card
Plan041,45640710,Citibusiness IOC Credit Card
Plan042,54417001,IKEA Family Credit Card By Citi
Plan043,43862805,IndianOil Citi Credit Card